No.,Chinese Name,Japanese Name,English Name
728,飞行Ｚ,ヒコウＺ,Flyinium Z,Ｚ力量的结晶。会将飞行属性的招式升级成Ｚ招式。
729,超能力Ｚ,エスパーＺ,Psychium Z,Ｚ力量的结晶。会将超能力属性的招式升级成Ｚ招式。
730,虫Ｚ,ムシＺ,Buginium Z,Ｚ力量的结晶。会将虫属性的招式升级成Ｚ招式。
731,岩石Ｚ,イワＺ,Rockium Z,Ｚ力量的结晶。会将岩石属性的招式升级成Ｚ招式。
732,幽灵Ｚ,ゴーストＺ,Ghostium Z,Ｚ力量的结晶。会将幽灵属性的招式升级成Ｚ招式。
733,龙Ｚ,ドラゴンＺ,Dragonium Z,Ｚ力量的结晶。会将龙属性的招式升级成Ｚ招式。
734,恶Ｚ,アクＺ,Darkinium Z,Ｚ力量的结晶。会将恶属性的招式升级成Ｚ招式。
735,钢Ｚ,ハガネＺ,Steelium Z,Ｚ力量的结晶。会将钢属性的招式升级成Ｚ招式。
736,妖精Ｚ,フェアリーＺ,Fairium Z,Ｚ力量的结晶。会将妖精属性的招式升级成Ｚ招式。
737,皮卡丘Ｚ,ピカチュウＺ,Pikanium Z,Ｚ力量的结晶。会将皮卡丘的伏特攻击升级成Ｚ招式。
738,狙射树枭Ｚ,ジュナイパーＺ,Decidium Z,Ｚ力量的结晶。会将狙射树枭的缝影升级成Ｚ招式。
739,炽焰咆哮虎Ｚ,ガオガエンＺ,Incinium Z,Ｚ力量的结晶。会将炽焰咆哮虎的ＤＤ金勾臂升级成Ｚ招式。
740,西狮海壬Ｚ,アシレーヌＺ,Primarium Z,Ｚ力量的结晶。会将西狮海壬的泡影的咏叹调升级成Ｚ招式。
741,卡璞Ｚ,カプＺ,Tapunium Z,Ｚ力量的结晶。会将卡璞们的自然之怒升级成Ｚ招式。
742,玛夏多Ｚ,マーシャドーＺ,Marshadium Z,Ｚ力量的结晶。会将玛夏多的暗影偷盗升级成Ｚ招式。
743,阿罗雷Ｚ,アロライＺ,Aloraichium Z,Ｚ力量的结晶。会将阿罗拉地区雷丘的十万伏特升级成Ｚ招式。
744,卡比兽Ｚ,カビゴンＺ,Snorlium Z,Ｚ力量的结晶。会将卡比兽的终极冲击升级成Ｚ招式。
745,伊布Ｚ,イーブイＺ,Eevium Z,Ｚ力量的结晶。会将伊布的珍藏升级成Ｚ招式。
746,梦幻Ｚ,ミュウＺ,Mewnium Z,Ｚ力量的结晶。会将梦幻的精神强念升级成Ｚ招式。
747,智皮卡Ｚ,サトピカＺ,Pikashunium Z,Ｚ力量的结晶。会将戴着帽子的皮卡丘的十万伏特升级成Ｚ招式。
748,索尔迦雷欧Ｚ,ソルガレオＺ,Solganium Z,Ｚ力量的结晶。会将索尔迦雷欧的流星闪冲升级成Ｚ招式。
749,露奈雅拉Ｚ,ルナアーラＺ,Lunalium Z,Ｚ力量的结晶。会将露奈雅拉的暗影之光升级成Ｚ招式。
750,究极奈克洛Ｚ,ウルトラネクロＺ,Ultranecrozium Z,Ｚ力量的结晶。会将奈克洛兹玛的光子喷涌升级成Ｚ招式。
751,谜拟ＱＺ,ミミッキュＺ,Mimikium Z,Ｚ力量的结晶。会将谜拟Ｑ的嬉闹升级成Ｚ招式。
752,鬃岩狼人Ｚ,ルガルガンＺ,Lycanium Z,Ｚ力量的结晶。会将鬃岩狼人的尖石攻击升级成Ｚ招式。
753,杖尾鳞甲龙Ｚ,ジャラランガＺ,Kommonium Z,Ｚ力量的结晶。会将杖尾鳞甲龙的鳞片噪音升级成Ｚ招式。
754,长棍面包,バゲット,Baguette,以切开的棒状面包制成。带有小麦的香味与朴素的咸味，无论与什么食材都很搭配。
755,蛋黄酱,マヨネーズ,Mayonnaise,酸味强烈的调味料，然而与各种食材都很搭配，不过要注意其卡路里。
756,番茄酱,ケチャップ,Ketchup,咸味和酸味强烈的调味料。以番茄为中心，由数种原料加工制成。
757,黄芥末酱,マスタード,Mustard,辣味强烈的调味料。制作面包料理必不可少，与番茄酱乃天作之合。
758,黄油,バター,Butter,带有甜味和咸味的调味料。不仅味道浓郁，更能提升面包口感。哞哞鲜奶１００％的乃是高级品。
759,花生酱,ピーナッツバター,Peanut Butter,甜味强烈的调味料。在帕底亚地区比起无糖，似乎甜甜的更受人欢迎。
760,辣酱,チリソース,Chili Sauce,辣味强烈的调味料。使用从狠辣椒抽出的成分调制而成的刺激酱汁。
761,盐,ソルト,Salt,咸味强烈的调味料。从四四方方的盐石垒脚印下采集到的盐特别受欢迎。
762,胡椒,ペッパー,Pepper,辣味强烈的调味料。与油腻的食材很搭配。来加一点提升风味吧。
763,酸奶,ヨーグルト,Yogurt,甜味和酸味强烈的调味料。与水果类的食物特别搭配，也很容易用在三明治上。
764,鲜奶油,ホイップクリーム,Whipped Cream,甜味强烈的调味料。在帕底亚，甜味突出的东西会受到欢迎。
765,奶油芝士,クリームチーズ,Cream Cheese,带有甜味、酸味和咸味的调味料。意外地与不少食材都很搭配，是能随意运用的调味料。
766,莓果酱,ベリージャム,Jam,甜味和酸味强烈的调味料。用在三明治上时甜味偏强，使用时要足够注意。
767,橘子酱,マーマレード,Marmalade,能让人感受到酸味和苦味的调味料。与油腻的食材很搭配，意外地是种用途广泛的食材。
768,橄榄油,オリーブオイル,Olive Oil,能稍微尝到酸味和苦味的调味料。带有迷你芙喜欢味道的油品质很高，所以会特别受到珍重。
769,醋,ビネガー,Vinegar,酸味强烈的调味料。在帕底亚，葡萄制成的醋很受欢迎。作为添加风味使用，效果会十分好。
770,辣根,ホースラディッシュ,Horseradish,辣味强烈的调味料。穿鼻而过般的辣味是其特征，与油腻的馅料很搭配。
771,咖喱粉,カレーパウダー,Curry Powder,辣味强烈的调味料。虽然是很出色的调味料，但需注意下太多可会抢掉其他食材的味道。
772,芥末酱,ワサビソース,Wasabi,辣味强烈的调味料。是一款风味与辣根相似的优秀调味料。
773,秘传：甜味料,ひでん：あまスパイス,Sweet Herba Mystica,仅出现在文献中的奇幻调味料。更有称品尝过其甜味之后胃被激活，食欲不振得到根治的轶事。
774,秘传：咸味料,ひでん：しおスパイス,Salty Herba Mystica,被以奇幻来形容的调味料之一。醇美的咸味在促进健康上据说有着惊人的效果。
775,秘传：酸味料,ひでん：すぱスパイス,Sour Herba Mystica,一种拥有出众酸味的调味料，据说还拥有优秀的恢复疲劳效果。只有极少数的人知道它的存在。
776,秘传：苦味料,ひでん：にがスパイス,Bitter Herba Mystica,拥有浓厚苦味的奇幻调味料。相传能大幅提高身体的免疫力，但事实真实性不明。
777,秘传：辣味料,ひでん：からスパイス,Spicy Herba Mystica,这款幻之调味料据说拥有极品的辣味，传闻只要吃一口，新陈代谢就会爆炸性地提高。
778,野餐组合,ピクニックセット,Picnic Set,在能收纳大量物品的野餐篮中，塞满了各种用来和宝可梦野餐的道具。
779,校园水壶,スクールボトル,Academy Bottle,校徽闪亮耀眼的水壶。轻巧坚固，采用了真空隔热的构造，由保温到保冷，功能一应俱全。
780,校园水壶,スクールボトル,Academy Bottle,校徽闪亮耀眼的水壶。轻巧坚固，采用了真空隔热的构造，由保温到保冷，功能一应俱全。
781,圆点水壶,みずたまボトル,Polka-Dot Bottle,带有圆点图案，轻便小巧还附带杯子的水壶。配备了可拆式挂绳，方便携带。
782,条纹水壶,ストライプボトル,Striped Bottle,带有条纹图案，轻便小巧还附带杯子的水壶。配备了可拆式挂绳，方便携带。
783,菱纹水壶,ダイヤボトル,Diamond Bottle,带有菱纹图案，轻便小巧还附带杯子的水壶。配备了可拆式挂绳，方便携带。
784,校园水杯,スクールカップ,Academy Cup,学院指定的野餐用杯。杯口造型经过精雕细琢，在学校内外都很有人气。
785,校园水杯,スクールカップ,Academy Cup,学院指定的野餐用杯。杯口造型经过精雕细琢，在学校内外都很有人气。
786,直条纹水杯,たてストライプカップ,Striped Cup,野餐时小孩使用的杯子。使用轻巧坚固的材料制成。能够叠起来，因此方便携带。
787,圆点水杯,みずたまカップ,Polka-Dot Cup,野餐时小孩使用的杯子。使用轻巧坚固的材料制成。能够叠起来，因此方便携带。
788,花朵水杯,フラワーカップ,Flower Pattern Cup,野餐时小孩使用的杯子。使用轻巧坚固的材料制成。能够叠起来，因此方便携带。
789,校园桌巾,スクールクロス,Academy Tablecloth,学院指定的桌巾。采用耐热材料，以最新的纤维加工技术制成。即使是使用锐利之爪都不能弄破。
790,校园桌巾,スクールクロス,Academy Tablecloth,学院指定的桌巾。采用耐热材料，以最新的纤维加工技术制成。即使是使用锐利之爪都不能弄破。
791,幻彩桌巾,ファンシークロス,Whimsical Tablecloth,与当红绘本作家共同创作的商品。这款桌巾上有着以温柔笔触描绘出的宝可梦，能为餐桌增花添彩。
792,大自然桌巾,ネイチャークロス,Leafy Tablecloth,印有草属性宝可梦，以植物图案为主的桌巾。找出混在里面的异类吧。
793,鬼祟桌巾,うらめしクロス,Spooky Tablecloth,在海军蓝的布料上浮现出宝可梦的脸的时尚桌巾。是幽灵属性爱好者必备的道具。
794,校园球,スクールボール,Academy Ball,学院指定的球。普通尺寸。有很多学生相信只要完美踢中勋章的部分，就能让球笔直飞出。
795,校园球,スクールボール,Academy Ball,学院指定的球。普通尺寸。有很多学生相信只要完美踢中勋章的部分，就能让球笔直飞出。
796,玛力露球,マリルボール,Marill Ball,参考玛力露制作的球。柔软而有弹性。要注意别误把真的玛力露扔出去了。
797,毛线球,けいとボール,Yarn Ball,以毛线制作的小球。编织得不易散开。即使散开，也能作为毛线被循环利用。
798,电竞球,ゲーミングボール,Cyber Ball,模仿电竞迷所喜欢的人气电竞电脑所制作的球。它不像真电脑那样能发光，但还是很显眼。
799,金色三明治签,ゴールドピック,Gold Pick,充满高档气息的金色签子。插了它就能让人感受到奢华的感觉，连不喜欢的食材应该也能大口吃下。
800,银色三明治签,シルバーピック,Silver Pick,充满高档气息的银色签子。插了它就能让人感受到奢华的感觉，连不喜欢的食材应该也能大口吃下。
801,红旗子三明治签,あかいはたピック,Red-Flag Pick,签子上带有酝酿出冒险感的红色旗帜。旗帜的部分由厚纸制成，因此即使没有风也能完全展开。
802,蓝旗子三明治签,あおいはたピック,Blue-Flag Pick,签子上带有酝酿出冒险感的蓝色旗帜。旗帜的部分由厚纸制成，因此即使没有风也能完全展开。
803,皮卡丘三明治签,ピカピカピック,Pika-Pika Pick,设计成皮卡丘的签子。印着皮卡丘平常的表情。耳朵部分方便易拿也是其受欢迎的秘密。
804,眨眼皮卡丘三明治签,パチピカピック,Winking Pika Pick,设计成皮卡丘的签子。印着皮卡丘眨眼的表情。耳朵部分方便易拿也是其受欢迎的秘密。
805,伊布三明治签,ブイブイピック,Vee-Vee Pick,设计成伊布的签子。印着伊布平常的表情。耳朵部分方便易拿也是其受欢迎的秘密。
806,笑脸伊布三明治签,ニコブイピック,Smiling Vee Pick,设计成伊布的签子。印着伊布露出笑脸的模样。耳朵部分方便易拿也是其受欢迎的秘密。
807,蓝珠珠三明治签,あおボールピック,Blue Poké Ball Pick,带有简约蓝色球的签子。一开始选择了水属性宝可梦的训练家经常会使用。
808,粉红水壶,ピンクボトル,Pink Bottle,是用于野餐的水壶中较为大众的商品。设计简约，易于携带。无论男女都有很多人会选择它。
809,蓝色水壶,ブルーボトル,Blue Bottle,是用于野餐的水壶中较为大众的商品。设计简约，易于携带。无论男女都有很多人会选择它。
810,黄色水壶,イエローボトル,Yellow Bottle,是用于野餐的水壶中较为大众的商品。设计简约，易于携带。无论男女都有很多人会选择它。
811,红纹不锈钢水壶,Rステンレスボトル,Steel Bottle (R),在露营时也会使用到的标准款水壶。以不易导热的不锈钢制成，具备极佳的保温保冷功能。
812,黄纹不锈钢水壶,Yステンレスボトル,Steel Bottle (Y),在露营时也会使用到的标准款水壶。以不易导热的不锈钢制成，具备极佳的保温保冷功能。
813,蓝纹不锈钢水壶,Bステンレスボトル,Steel Bottle (B),在露营时也会使用到的标准款水壶。以不易导热的不锈钢制成，具备极佳的保温保冷功能。
814,银钛水壶,シルバーチタンボトル,Silver Bottle,在登山男与登山女孩之间很有人气的商品。使用钛制成，即使用来装含盐分的液体也不会生锈。
815,横条纹水杯,よこストライプカップ,Barred Cup,在家吃饭时也经常会用到的杯子。轻巧坚固，能叠起来收纳，方便携带。
816,菱纹水杯,ダイヤカップ,Diamond Pattern Cup,在家吃饭时也经常会用到的杯子。轻巧坚固，能叠起来收纳，方便携带。
817,火焰水杯,ファイヤーカップ,Fire Pattern Cup,在家吃饭时也经常会用到的杯子。轻巧坚固，能叠起来收纳，方便携带。
818,粉红水杯,ピンクカップ,Pink Cup,与粉红水壶成套购买的杯子。因为不能叠放，所以不利于收纳，但很受追求拍出精美照片的人欢迎。
819,蓝色水杯,ブルーカップ,Blue Cup,与蓝色水壶成套购买的杯子。因为不能叠放，所以不利于收纳，但很受追求拍出精美照片的人欢迎。
820,黄色水杯,イエローカップ,Yellow Cup,与黄色水壶成套购买的杯子。因为不能叠放，所以不利于收纳，但很受追求拍出精美照片的人欢迎。
821,皮卡丘水杯,ピカチュウカップ,Pikachu Cup,为喜欢宝可梦的人而制作的杯子。靠这个杯子能让小孩精神饱满地乖乖喝东西，可帮父母一个大忙。
822,伊布水杯,イーブイカップ,Eevee Cup,为喜欢宝可梦的人而制作的杯子。靠这个杯子能让小孩小心翼翼地乖乖喝东西，可帮父母一个大忙。
823,呆呆兽水杯,ヤドンカップ,Slowpoke Cup,为喜欢宝可梦的人而制作的杯子。靠这个杯子能让小孩不挑三拣四地乖乖喝东西，可帮父母一个大忙。
824,银钛水杯,シルバーチタンカップ,Silver Cup,在登山男与登山女孩之间很有人气的商品。使用钛制成，即使注入含盐分的液体也不会生锈。
825,瑜珈球,バランスボール,Exercise Ball,健身用的大球。若能漂亮地乘上去，便可以锻炼体干。当厌倦锻炼了，还能当椅子使用。
826,黄色格子桌巾,きいろチェッククロス,Plaid Tablecloth (Y),以厚重布料制作的结实桌巾。其充满活力的黄色格子图案，能让食桌摇身变得充满生机。
827,蓝色格子桌巾,あおチェッククロス,Plaid Tablecloth (B),以厚重布料制作的结实桌巾。其宁静温和的蓝色格子图案，能让食桌摇身变得神清气爽。
828,红色格子桌巾,あかチェッククロス,Plaid Tablecloth (R),以厚重布料制作的结实桌巾。其沉着稳重的红色格子图案，能让食桌摇身变得优雅别致。
829,黑白草丛桌巾,くさむらモノクロス,B&W Grass Tablecloth,黑白配色的精美桌巾。藏身在草丛中的宝可梦感觉随时都会跳出来。
830,对决桌巾,しょうぶクロス,Battle Tablecloth,颜色鲜艳引人注目的桌巾。只要铺上这个吃饭，无论是人还是宝可梦都会充满干劲。
831,怪兽桌巾,かいじゅうクロス,Monstrous Tablecloth,由深灰科学博物馆监制的桌巾。充满学术氛围的配色与图案小孩大人都喜欢。
832,条纹桌巾,ストライプクロス,Striped Tablecloth,带有条纹图案的时尚桌巾。既防水又防霉，性能优越。弄脏了也一下就能擦掉。
833,菱纹桌巾,ダイヤクロス,Diamond Tablecloth,带有菱纹图案的时尚桌巾。既防水又防霉，性能优越。弄脏了也一下就能擦掉。
834,圆点桌巾,みずたまクロス,Polka-Dot Tablecloth,带有圆点图案的时尚桌巾。既防水又防霉，性能优越。弄脏了也一下就能擦掉。
835,紫色桌巾,パープルクロス,Lilac Tablecloth,柔软的紫色桌巾。丝柔顺滑亲近肌肤，放上餐具也不会发出声音。
836,浅绿桌巾,ミントクロス,Mint Tablecloth,柔软的浅绿色桌巾。丝柔顺滑亲近肌肤，放上餐具也不会发出声音。
837,米色桌巾,ベージュクロス,Peach Tablecloth,柔软的米色桌巾。丝柔顺滑亲近肌肤，放上餐具也不会发出声音。
838,黄色桌巾,イエロークロス,Yellow Tablecloth,稳重的黄色桌巾。丝柔顺滑亲近肌肤，放上餐具也不会发出声音。
839,蓝色桌巾,ブルークロス,Blue Tablecloth,稳重的蓝色桌巾。丝柔顺滑亲近肌肤，放上餐具也不会发出声音。
840,粉红桌巾,ピンククロス,Pink Tablecloth,稳重的粉红色桌巾。丝柔顺滑亲近肌肤，放上餐具也不会发出声音。
841,金钛水壶,ゴールドチタンボトル,Gold Bottle,在登山男与登山女孩之间很有人气的商品。使用钛制成，即使用来装含盐分的液体也不会生锈。
842,铜钛水壶,ブロンズチタンボトル,Bronze Bottle,在登山男与登山女孩之间很有人气的商品。使用钛制成，即使用来装含盐分的液体也不会生锈。
843,金钛水杯,ゴールドチタンカップ,Gold Cup,在登山男与登山女孩之间很有人气的商品。使用钛制成，即使注入含盐分的液体也不会生锈。
844,铜钛水杯,ブロンズチタンカップ,Bronze Cup,在登山男与登山女孩之间很有人气的商品。使用钛制成，即使注入含盐分的液体也不会生锈。
845,绿珠珠三明治签,みどりボールピック,Green Poké Ball Pick,带有简约绿色球的签子。一开始选择了草属性宝可梦的训练家经常会使用。
846,红珠珠三明治签,あかボールピック,Red Poké Ball Pick,带有简约红色球的签子。一开始选择了火属性宝可梦的训练家经常会使用。
847,烟花祝庆三明治签,おいわいはなびピック,Party Sparkler Pick,会自动烧起小火花的签子。会用在派对或喜庆场合。燃尽后的味道会让人上瘾。
848,勇者之剑三明治签,ゆうしゃのけんピック,Heroic Sword Pick,追求帅气的签子。餐后能用来装传说中的勇者来玩游戏。不知为何会在观光胜地的特产店中贩卖。
849,魔法星星三明治签,マジカルスターピック,Magical Star Pick,魔法棒形的签子。制作便当的人那希望做得好吃的心愿或许就是魔法。
850,魔法甜心三明治签,マジカルハートピック,Magical Heart Pick,魔法棒形的签子。制作便当的人那希望做得好吃的心愿或许就是魔法。
851,阳伞三明治签,パラソルピック,Parasol Pick,虽然有人批评伞的部分不易拿且会弄脏手，但餐后能用来转着玩，很有趣。
852,晴空花三明治签,あおぞらおはなピック,Blue-Sky Flower Pick,以晴空为灵感创作的花朵签子。只要用上几种天色花朵系列的签子，保证能让野餐的氛围得到升华。
853,夕阳花三明治签,ゆうやけおはなピック,Sunset Flower Pick,以夕阳为灵感创作的花朵签子。只要用上几种天色花朵系列的签子，保证能让野餐的氛围得到升华。
854,朝霞花三明治签,あさやけおはなピック,Sunrise Flower Pick,以朝霞为灵感创作的花朵签子。只要用上几种天色花朵系列的签子，保证能让野餐的氛围得到升华。
855,蓝色盘子,ブループレート,Blue Dish,野餐用的盘子。为了能够配合料理和心情使用，其有着丰富的颜色种类。蓝色的是销售量稳定的商品。
856,绿色盘子,グリーンプレート,Green Dish,野餐用的盘子。为了能够配合料理和心情使用，其有着丰富的颜色种类。绿色的是非常有人气的商品。
857,橘色盘子,オレンジプレート,Orange Dish,野餐用的盘子。为了能够配合料理和心情使用，其有着丰富的颜色种类。橘色的是稳居人气榜前几名的商品。
858,红色盘子,レッドプレート,Red Dish,野餐用的盘子。为了能够配合料理和心情使用，其有着丰富的颜色种类。红色的是永远都有市场的商品。
859,白色盘子,ホワイトプレート,White Dish,野餐用的盘子。为了能够配合料理和心情使用，其有着丰富的颜色种类。白色的是深受店家推荐的商品。
860,黄色盘子,イエロープレート,Yellow Dish,野餐用的盘子。为了能够配合料理和心情使用，其有着丰富的颜色种类。黄色的是买了绝不会后悔的商品。
861,简约椅子,シンプルチェア,Simple Chairs,在野餐时很好用的椅子。设计简约，结实耐脏。
862,校园椅子,スクールチェア,Academy Chairs,在野餐时很好用的椅子。根据校园桌巾的设计制作而成。
863,校园椅子,スクールチェア,Academy Chairs,在野餐时很好用的椅子。根据校园桌巾的设计制作而成。
864,幻彩椅子,ファンシーチェア,Whimsical Chairs,在野餐时很好用的椅子。根据幻彩桌巾的设计制作而成。
865,大自然椅子,ネイチャーチェア,Leafy Chairs,在野餐时很好用的椅子。根据大自然桌巾的设计制作而成。
866,鬼祟椅子,うらめしチェア,Spooky Chairs,在野餐时很好用的椅子。根据鬼祟桌巾的设计制作而成。
867,黄色格子椅子,きいろチェックチェア,Plaid Chairs (Y),在野餐时很好用的椅子。根据黄色格子桌巾的设计制作而成。
868,蓝色格子椅子,あおチェックチェア,Plaid Chairs (B),在野餐时很好用的椅子。根据蓝色格子桌巾的设计制作而成。
869,红色格子椅子,あかチェックチェア,Plaid Chairs (R),在野餐时很好用的椅子。根据红色格子桌巾的设计制作而成。
870,草丛椅子,くさむらチェア,B&W Grass Chairs,在野餐时很好用的椅子。根据黑白草丛桌巾的设计制作而成。
871,对决椅子,しょうぶチェア,Battle Chairs,在野餐时很好用的椅子。根据对决桌巾的设计制作而成。
872,怪兽椅子,かいじゅうチェア,Monstrous Chairs,在野餐时很好用的椅子。根据怪兽桌巾的设计制作而成。
873,条纹椅子,ストライプチェア,Striped Chairs,在野餐时很好用的椅子。根据条纹桌巾的设计制作而成。
874,菱纹椅子,ダイヤチェア,Diamond Chairs,在野餐时很好用的椅子。根据菱纹桌巾的设计制作而成。
875,圆点椅子,みずたまチェア,Polka-Dot Chairs,在野餐时很好用的椅子。根据圆点桌巾的设计制作而成。
876,紫色椅子,パープルチェア,Lilac Chairs,在野餐时很好用的椅子。根据紫色桌巾的设计制作而成。
877,浅绿椅子,ミントチェア,Mint Chairs,在野餐时很好用的椅子。根据浅绿桌巾的设计制作而成。
878,米色椅子,ベージュチェア,Peach Chairs,在野餐时很好用的椅子。根据米色桌巾的设计制作而成。
879,黄色椅子,イエローチェア,Yellow Chairs,在野餐时很好用的椅子。根据黄色桌巾的设计制作而成。
880,蓝色椅子,ブルーチェア,Blue Chairs,在野餐时很好用的椅子。根据蓝色桌巾的设计制作而成。
881,粉红椅子,ピンクチェア,Pink Chairs,在野餐时很好用的椅子。根据粉红桌巾的设计制作而成。
882,鸭嘴炎兽三明治签,メラメラピック,Fiery Pick,设计成鸭嘴炎兽的签子。据说使用这种签子会让三明治看起来像刚做好的一样热气腾腾。
883,蓝莓桌巾,ブルーベリークロス,Blueberry Tablecloth,蓝莓学园指定的桌巾。采用耐热材料，以最新的纤维加工技术制成。即使是使用锐利之牙都不能撕开。
884,蓝莓椅子,ブルーベリーチェア,Blueberry Chairs,在野餐时很好用的椅子。根据蓝莓桌巾的设计制作而成。
885,粗绞肉香肠,あらびきヴルスト,Sausages,在露营营地制作料理时会使用的一种食材。白香肠是香肠的一种。需要先煮过之后再食用。
886,饱伯罐头,ボブのかんづめ,Bob's Food Tins,在露营营地制作料理时会使用的一种食材。不知是什么原因，饱伯卖的罐头在伽勒尔特别受欢迎。
887,巴哈罐头,バックのかんづめ,Bach's Food Tins,在露营营地制作料理时会使用的一种食材。不知是什么原因，巴哈卖的罐头在伽勒尔特别受欢迎。
888,豆子罐头,マメかん,Tins of Beans,在露营营地制作料理时会使用的一种食材。放进料理里一起煮，豆子的那种香甜就会散发出来。
889,吐司面包,しょくパン,Bread,在露营营地制作料理时会使用的一种食材。同时也是用于吸干盘中最后一滴咖喱的秘密武器。
890,通心粉,パスタ,Pasta,在露营营地制作料理时会使用的一种食材。是由麦儿粉揉制的面条。搭配咖喱出乎意料地美味。
891,袋装蕈菇,キノコパック,Mixed Mushrooms,在露营营地制作料理时会使用的一种食材。各种菌菇混在一起的嚼劲会为口感带来变化。
892,烟熏尾巴,しっぽのくんせい,Smoke-Poke Tails,在露营营地制作料理时会使用的一种食材。宝可梦呆呆兽的尾巴就算断掉也会很快长出新的。
893,粗枝大葱,ふといながねぎ,Large Leeks,在露营营地制作料理时会使用的一种食材。不知是不是宝可梦大葱鸭最爱的那种植物的茎。
894,特选苹果,とくせんリンゴ,Fancy Apples,在露营营地制作料理时会使用的一种食材。历经千挑万选的苹果不仅形状饱满，表皮更是亮泽鲜艳。
895,细骨,かぼそいホネ,Brittle Bones,在露营营地制作料理时会使用的一种食材。将骨头精心熬煮而得的一丝浓缩的精华加深了料理的美味。
896,袋装土豆,ポテトパック,Packs of Potatoes,在露营营地制作料理时会使用的一种食材。土豆能中和辣味，使整道料理的滋味变得柔和。
897,水边香草,みずべのハーブ,Pungent Roots,在露营营地制作料理时会使用的一种食材。将信手摘取的香草点缀在上面，使料理更加色香味俱全。
898,袋装蔬菜,やさいパック,Salad Mixes,在露营营地制作料理时会使用的一种食材。将各种蔬菜搭配到一起，看上去就非常有益健康。
899,炸物拼盘,フライもりあわせ,Fried Foods,在露营营地制作料理时会使用的一种食材。炸完出锅后放置了一段时间，所以稍稍有些油腻。
900,水煮蛋,ゆでタマゴ,Boiled Eggs,在露营营地制作料理时会使用的一种食材。只需一个水煮蛋，整道料理的水准都能得到升华。
901,袋装果实,フサパック,Fruit Bunches,在露营营地制作料理时会使用的一种食材。煮得粘稠浓厚的水果，能为料理增添一份热带风情。
902,哞哞乳酪,モーモーチーズ,Moomoo Cheese,在露营营地制作料理时会使用的一种食材。融化的芝士能为咖喱增添一份独特的浓郁。
903,香料组合,スパイスセット,Spice Mix,在露营营地制作料理时会使用的一种食材。加入了超过５０种香辛料调配而成，香辣十足。
904,鲜鲜奶油,しんせんクリーム,Fresh Cream,在露营营地制作料理时会使用的一种食材。在辣味的咖喱中加入奶油，使滋味变得香甜可口。
905,即食咖喱,レトルトカレー,Packaged Curry,在露营营地制作料理时会使用的一种食材。使用这种成品速食咖喱，可以有效预防失误。
906,椰奶,ヤシのミルク,Coconut Milk,在露营营地制作料理时会使用的一种食材。椰奶那种与众不同的清甜滋味非常受欢迎。
907,即食面,レトルトめん,Instant Noodles,在露营营地制作料理时会使用的一种食材。没想到加入速食食品，滋味也出乎意料地和谐。
908,即食肉排,レトルトバーグ,Precooked Burgers,在露营营地制作料理时会使用的一种食材。不知道该加什么的时候，选择这种汉堡肉准没错。
909,超极粉,キョダイパウダー,Gigantamixes,在露营营地制作料理时会使用的食材。只要把这种神奇的香辛料往咖喱上轻轻一撒，咖喱就会变得巨大无比。
910,生菜,レタス,Lettuce,带苦味的食材。因为味道朴素，所以能与各种食材搭配享用。
911,番茄片,トマトスライス,Tomato,酸味强烈的食材。含有许多鲜味成分，所以受到各种宝可梦欢迎。
912,小番茄块,カットミニトマト,Cherry Tomatoes,酸味强烈的食材。味道特别甜的品种在帕底亚很受欢迎。
913,小黄瓜片,キュウリスライス,Cucumber,带有酸味和苦味的食材。想要活用其草腥味的话，就和味道浓厚的食材一起做成三明治吧。
914,酸黄瓜片,ピクルススライス,Pickle,酸味强烈的食材。是通过香料与醋制作的调味液腌制蔬菜而成。
915,洋葱片,たまねぎスライス,Onion,带有辣味的食材。三明治中不可或缺的蔬菜。和油腻的食材很搭配。
916,红洋葱,アーリーレッド,Red Onion,带有甜味的食材。与洋葱相比，辣味和香味都较淡，容易入口。
917,青椒片,ピーマンスライス,Green Bell Pepper,带有苦味的食材。切成片放进三明治当中能够起到提味作用。
918,红椒片,あかパプリカスライス,Red Bell Pepper,带有苦味的食材。苦味及其风味比青椒更加淡，易于使用。
919,黄椒片,きパプリカスライス,Yellow Bell Pepper,带有苦味的食材。味道与红椒几乎无异，但混合起来用便能给人带来视觉享受。
920,牛油果,アボカド,Avocado,带有甜味的食材。味道本身虽淡薄但有深度，吃起来足够让人满足。
921,煎培根,やきベーコン,Bacon,咸味强烈的食材。充分煎至焦脆程度恰到好处，因此香味与鲜味十足。
922,火腿片,ハムスライス,Ham,咸味强烈的食材。因为其咸味很足，所以与蔬菜类的食材非常搭配。
923,生火腿,なまハム,Prosciutto,咸味很强的食材。因为与火腿不同，并没有加热，所以能享受新鲜的味道。
924,煎辣香肠,やきチョリソー,Chorizo,咸味和辣味强烈的食材。咸味十足的香肠，够辣的类型很受欢迎。
925,香草香肠,ハーブソーセージ,Herbed Sausage,咸味和苦味强烈的食材。极强的咸味和香草的苦味相互平衡讨人喜爱。
926,汉堡排,ハンバーグ,Hamburger,咸味强烈的食材。如果希望三明治能吃得让人满足，就绝不能少了它。
927,毛崖蟹棒,ガケガニスティック,Klawf Stick,甜味和咸味强烈的食材。由毛崖蟹脱下的壳的萃取物调制而成的健康加工食品。
